               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093274,            0.017407,            0.050047,             0.01813,             0.83333,             0.34468,             0.13567,              0.0531,            0.070928,            0.046829,            0.070476,           0.0032804,           0.0032804
                   1,            0.062141,             0.02046,            0.044405,             0.16369,             0.80556,             0.60562,             0.24274,            0.047224,            0.060807,            0.038457,            0.040345,           0.0064828,           0.0064828
                   2,            0.058317,             0.01686,            0.037745,             0.70957,             0.16667,             0.44002,             0.19197,            0.049609,            0.052864,            0.032817,            0.010082,           0.0095532,           0.0095532
                   3,            0.057048,            0.014303,             0.03544,              0.3933,             0.55376,             0.65316,             0.26607,            0.051361,             0.04565,            0.024575,            0.009406,            0.009406,            0.009406
                   4,            0.056643,            0.013833,            0.031859,             0.57495,             0.67871,             0.71452,              0.3773,            0.047073,            0.044619,            0.020837,            0.009406,            0.009406,            0.009406
                   5,            0.052369,            0.012621,            0.025002,             0.88074,             0.69177,                0.76,             0.34864,            0.045855,            0.041998,            0.017781,            0.009208,            0.009208,            0.009208
                   6,            0.052632,            0.011233,            0.023042,             0.73953,             0.66631,             0.76607,             0.39476,            0.046534,            0.035911,            0.015193,             0.00901,             0.00901,             0.00901
                   7,            0.049831,           0.0098377,            0.019259,             0.84531,             0.81811,             0.95113,             0.44854,            0.048644,            0.032553,            0.011474,            0.008812,            0.008812,            0.008812
                   8,            0.047778,           0.0084218,            0.015707,             0.86953,                   1,             0.93317,             0.48807,            0.042222,            0.031256,           0.0094319,            0.008614,            0.008614,            0.008614
                   9,            0.049474,           0.0083574,            0.013625,             0.88005,             0.94104,             0.95616,             0.46517,            0.043591,             0.03084,           0.0090363,            0.008416,            0.008416,            0.008416
                  10,            0.049888,           0.0082518,            0.013412,             0.84883,              0.9813,             0.97843,             0.52155,            0.041186,            0.030091,           0.0071231,            0.008218,            0.008218,            0.008218
                  11,            0.044994,           0.0079132,            0.009825,             0.73391,             0.96771,             0.95605,             0.51366,             0.04084,            0.028442,           0.0059647,             0.00802,             0.00802,             0.00802
                  12,            0.043976,           0.0066737,            0.011192,              0.9252,                   1,             0.98611,             0.43734,            0.042775,            0.027578,           0.0060631,            0.007822,            0.007822,            0.007822
                  13,            0.046004,           0.0080996,           0.0094486,             0.96597,                   1,               0.995,              0.5737,            0.035439,            0.027807,           0.0055063,            0.007624,            0.007624,            0.007624
                  14,            0.041298,           0.0078812,           0.0088743,             0.62891,             0.97182,             0.95996,             0.50444,            0.038302,             0.02682,           0.0048285,            0.007426,            0.007426,            0.007426
                  15,            0.041075,           0.0073684,           0.0087554,              0.8997,                   1,               0.995,             0.58483,            0.036588,            0.027378,           0.0047961,            0.007228,            0.007228,            0.007228
                  16,            0.042229,           0.0076477,           0.0075073,             0.93637,                   1,               0.995,             0.60882,            0.034407,            0.027119,           0.0046622,             0.00703,             0.00703,             0.00703
                  17,            0.040424,           0.0070495,           0.0077028,             0.97069,                   1,               0.995,              0.6068,            0.035098,            0.026184,             0.00529,            0.006832,            0.006832,            0.006832
                  18,             0.03967,           0.0065329,           0.0082689,              0.9594,             0.99313,               0.995,             0.59243,            0.034461,            0.025534,           0.0043332,            0.006634,            0.006634,            0.006634
                  19,            0.039701,           0.0072969,           0.0075258,             0.96896,                   1,               0.995,             0.61323,            0.031883,            0.024883,           0.0041502,            0.006436,            0.006436,            0.006436
                  20,            0.038614,           0.0072339,           0.0072311,             0.96228,                   1,               0.995,             0.57295,             0.03191,            0.024508,           0.0044352,            0.006238,            0.006238,            0.006238
                  21,            0.039227,           0.0074326,           0.0067963,             0.98297,             0.97222,             0.99119,             0.59948,            0.033267,            0.025191,           0.0044281,             0.00604,             0.00604,             0.00604
                  22,            0.040315,            0.006933,           0.0084463,             0.97995,                   1,               0.995,              0.5515,            0.034398,            0.024786,           0.0042522,            0.005842,            0.005842,            0.005842
                  23,            0.036578,           0.0079415,           0.0063071,             0.94878,                   1,             0.99119,             0.66778,            0.029942,            0.024147,             0.00391,            0.005644,            0.005644,            0.005644
                  24,            0.036672,           0.0070141,            0.005931,             0.97919,                   1,               0.995,             0.66123,            0.030854,            0.024048,             0.00381,            0.005446,            0.005446,            0.005446
                  25,            0.035812,           0.0065631,           0.0053428,             0.97975,             0.99505,               0.995,             0.63644,            0.029652,             0.02298,           0.0036442,            0.005248,            0.005248,            0.005248
                  26,            0.035791,           0.0067506,            0.005805,             0.96758,             0.99691,               0.995,             0.63059,            0.030976,            0.023455,           0.0035156,             0.00505,             0.00505,             0.00505
                  27,            0.037486,           0.0061168,           0.0061689,             0.96954,             0.99426,               0.995,             0.62547,            0.030338,            0.024725,           0.0039157,            0.004852,            0.004852,            0.004852
                  28,            0.036757,           0.0069042,           0.0060588,             0.95227,                   1,               0.995,             0.60655,            0.032299,            0.024221,           0.0034671,            0.004654,            0.004654,            0.004654
                  29,            0.036395,           0.0068702,           0.0060005,             0.96712,                   1,               0.995,             0.65338,            0.029679,            0.023752,            0.003653,            0.004456,            0.004456,            0.004456
                  30,            0.034295,           0.0064922,           0.0058058,             0.97625,             0.99015,               0.995,             0.65266,            0.028163,             0.02327,           0.0035186,            0.004258,            0.004258,            0.004258
                  31,            0.033013,           0.0069896,           0.0051729,             0.96313,             0.98844,               0.995,             0.63142,            0.029046,            0.022706,           0.0033109,             0.00406,             0.00406,             0.00406
                  32,            0.034434,           0.0070316,           0.0053036,              0.9675,             0.98905,               0.995,               0.645,            0.029177,            0.023233,           0.0032645,            0.003862,            0.003862,            0.003862
                  33,            0.035065,           0.0066187,           0.0052391,               0.972,             0.99038,               0.995,             0.64905,            0.028784,            0.022793,           0.0031651,            0.003664,            0.003664,            0.003664
                  34,             0.03226,           0.0058434,           0.0051178,             0.97925,                   1,               0.995,             0.65544,            0.029439,             0.02274,           0.0031976,            0.003466,            0.003466,            0.003466
                  35,            0.031998,           0.0058348,           0.0054833,             0.97604,             0.99441,               0.995,              0.6168,            0.028984,            0.022645,           0.0028771,            0.003268,            0.003268,            0.003268
                  36,            0.032945,           0.0059346,           0.0060468,             0.97755,             0.99011,               0.995,             0.64352,             0.02756,            0.022138,           0.0029879,             0.00307,             0.00307,             0.00307
                  37,             0.03217,             0.00583,           0.0049238,             0.97868,             0.99327,               0.995,             0.67475,            0.027242,            0.021916,           0.0029605,            0.002872,            0.002872,            0.002872
                  38,            0.032979,           0.0064039,           0.0069589,             0.97107,             0.99555,               0.995,              0.6699,            0.027305,            0.021815,            0.002906,            0.002674,            0.002674,            0.002674
                  39,            0.032266,            0.006128,           0.0052887,             0.97906,              0.9996,               0.995,             0.63436,            0.028054,            0.022496,           0.0028557,            0.002476,            0.002476,            0.002476
                  40,            0.031739,           0.0064381,           0.0055657,              0.9851,                   1,               0.995,             0.66592,            0.027208,            0.022411,           0.0027156,            0.002278,            0.002278,            0.002278
                  41,            0.030397,           0.0063106,           0.0046944,             0.98197,              0.9986,               0.995,             0.66027,            0.026582,            0.021823,           0.0027046,             0.00208,             0.00208,             0.00208
                  42,            0.032405,           0.0060953,            0.004876,             0.97809,                   1,               0.995,             0.66782,            0.026828,            0.021769,           0.0027422,            0.001882,            0.001882,            0.001882
                  43,             0.03192,           0.0062926,           0.0047133,             0.97729,             0.99514,               0.995,             0.67828,            0.026367,            0.021549,           0.0026349,            0.001684,            0.001684,            0.001684
                  44,            0.030833,           0.0056554,           0.0047155,             0.96172,                   1,               0.995,              0.6813,            0.026361,            0.021935,           0.0025173,            0.001486,            0.001486,            0.001486
                  45,            0.030495,            0.006375,           0.0044627,             0.97047,             0.98618,               0.995,             0.68106,            0.026113,             0.02132,           0.0024938,            0.001288,            0.001288,            0.001288
                  46,            0.028311,            0.005466,           0.0038672,             0.97457,             0.98941,               0.995,             0.69191,            0.026532,            0.021217,           0.0024829,             0.00109,             0.00109,             0.00109
                  47,            0.029221,           0.0052223,           0.0040903,             0.98693,             0.99005,               0.995,             0.66757,            0.026761,            0.021221,            0.002473,            0.000892,            0.000892,            0.000892
                  48,            0.029771,           0.0057677,           0.0043843,             0.98783,             0.98987,               0.995,             0.69209,            0.025869,            0.021096,           0.0024503,            0.000694,            0.000694,            0.000694
                  49,            0.028427,           0.0058664,           0.0040457,             0.98294,             0.98956,               0.995,             0.69007,            0.025836,            0.020993,           0.0024292,            0.000496,            0.000496,            0.000496
